MD	INC	AZM	DAD2_GW6	UAD2_GW6	AD2_GW6	AM2_GW6	DAD4_GW6	UAD4_GW6	AD4_GW6	AM4_GW6	AU1_GW6	DAU1_GW6	UAU1_GW6	DPD2_GW6	UPD2_GW6	PD2_GW6	PM2_GW6	DPD4_GW6	UPD4_GW6	PD4_GW6	PM4_GW6	PU1_GW6	DPU1_GW6	UPU1_GW6	RDAD2_GW6	RUAD2_GW6	RAD2_GW6	RAM2_GW6	RDAD4_GW6	RUAD4_GW6	RAD4_GW6	RAM4_GW6	RAU1_GW6	RDAU1_GW6	RUAU1_GW6	RDPD2_GW6	RUPD2_GW6	RPD2_GW6	RPM2_GW6	RDPD4_GW6	RUPD4_GW6	RPD4_GW6	RPM4_GW6	RPU1_GW6	RDPU1_GW6	RUPU1_GW6	QPd2_GW6	QPd4_GW6	QPu1_GW6	QAd2_GW6	QAd4_GW6	QAu1_GW6	XAU1_GW6	XYAU1_GW6	DXAU1_GW6	UXAU1_GW6	XPU1_GW6	XYPU1_GW6	DXPU1_GW6	UXPU1_GW6	RXAU1_GW6	RXYAU1_GW6	RDXAU1_GW6	RUXAU1_GW6	RXPU1_GW6	RXYPU1_GW6	RDXPU1_GW6	RUXPU1_GW6	QXPu1_GW6	QXAu1_GW6	Rhfm	Rvfm	TVD	NS	EW	VS	LD	TVDSS	DLS	TSD
.FT	.deg	.deg	.dB	.dB	.dB	.dB	.dB	.dB	.dB	.dB	.dB	En Zona	.dB	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.deg	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.deg	.deg	.deg	.dB	.dB	.dB	.dB	.dB	.dB	.dB	.deg	.deg	.deg	.deg	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.ohm-m	.deg	.dB	.Ohmm	.Ohmm	.FT	.FT	.FT	.FT	.FT	.FT	.deg/100ft	.FT
11490	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47674	Cerca del TECHO	-2.47679	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.97197	30.97112	30.97281	1	1	1	1	1	1	1	1	1.000291	1.000321	1.000262	1	1	1	1	1	1	1	1	1.000379	1.000429	1.00033	0	0	0.001684	0	0	0.000108	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5129.862	1484.33	0	1484.33	1484.33	129.8621	-999.25	5129.862
11500	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.477	Cerca del TECHO	-2.47701	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58724	30.96792	30.96655	30.96928	1	1	1	1	1.000001	1	1.000001	1	1.000152	1.000159	1.000144	1	1	1	1	1	1	1	1	1.000618	1.000698	1.000537	0	0	0.002735	0	0	0.000029	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5130.734	1494.292	0	1494.292	1494.292	130.7336	-999.25	5130.734
11510	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47763	Cerca del TECHO	-2.47755	31.971868	31.97187	31.97187	30.79482	12.91639	12.91639	12.91639	11.58723	30.96313	30.96114	30.96512	1	1	1	1	1.000001	1	1	1	0.999847	0.999813	0.999882	1	1	1	1	1.000001	1.000001	1.000001	1	1.0009	1.001017	1.000783	0	0.000001	0.003977	0	0	-0.00016	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5131.605	1504.254	0	1504.254	1504.254	131.6052	-999.25	5131.605
11520	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.47885	Cerca del TECHO	-2.47859	31.971868	31.97187	31.97187	30.79482	12.91638	12.91639	12.91639	11.58723	30.95848	30.95591	30.96105	1	1	1	1	0.999999	0.999999	0.999999	1	0.999331	0.999219	0.999442	1	1	1	1	1.000002	1.000002	1.000002	1.000001	1.001173	1.001325	1.001022	0	0.000002	0.005145	0	0	-0.00053	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5132.477	1514.216	0	1514.216	1514.216	132.4767	-999.25	5132.477
11530	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14584	-1.14584	-1.14584	-0.84227	-2.48086	Cerca del TECHO	-2.48029	31.971868	31.97187	31.97187	30.79482	12.91638	12.91638	12.91638	11.58723	30.95579	30.95296	30.95862	1	1	1	1	0.999996	0.999997	0.999997	0.999999	0.998478	0.998238	0.998719	1	1	1	1	1.000002	1.000002	1.000002	1.000001	1.001332	1.001498	1.001165	0	0.000003	0.005657	0	-1.00E-06	-0.00113	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5133.348	1524.178	0	1524.178	1524.178	133.3483	-999.25	5133.348
11540	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14585	-1.14585	-1.14585	-0.84227	-2.48383	Cerca del TECHO	-2.48281	31.971868	31.97187	31.97187	30.79482	12.9164	12.9164	12.9164	11.58723	30.9582	30.95598	30.96043	1	1	1	1	0.999991	0.999993	0.999992	0.999997	0.997218	0.996783	0.997652	1	1	1	1	1	1	1	1.000001	1.00119	1.00132	1.001059	0	-1.00E-06	0.004446	0	-2.00E-06	-0.00205	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5134.22	1534.14	0	1534.14	1534.14	134.2198	-999.25	5134.22
11550	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14585	-1.14585	-1.14585	-0.84227	-2.48779	Cerca del TECHO	-2.48615	31.971868	31.97187	31.97187	30.79482	12.91648	12.91646	12.91647	11.58724	30.97064	30.97076	30.97052	1	1	1	1	0.999987	0.999989	0.999988	0.999994	0.99554	0.994844	0.996236	1	1	1	1	0.99999	0.999992	0.999991	0.999999	1.000458	1.000451	1.000465	0	-1.60E-05	-0.00024	0	-3.00E-06	-0.00328	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5135.091	1544.102	0	1544.102	1544.102	135.0914	-999.25	5135.091
11560	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14585	-1.14585	-1.14585	-0.84227	-2.49242	Cerca del TECHO	-2.49005	31.971868	31.97187	31.97187	30.79482	12.91664	12.91659	12.91662	11.58729	31.00001	31.00552	30.99451	1	1	1	1	0.999993	0.999995	0.999994	0.999992	0.993576	0.992573	0.994579	1	1	1	1	0.999971	0.999977	0.999974	0.999993	0.998978	0.998718	0.999239	0	-5.10E-05	-0.01102	0	-1.00E-06	-0.00473	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5135.963	1554.064	0	1554.064	1554.064	135.963	-999.25	5135.963
11570	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.1458	-1.14581	-1.14581	-0.84227	-2.49681	Cerca del TECHO	-2.49379	31.971868	31.97187	31.97187	30.79482	12.91685	12.91675	12.9168	11.58738	31.05511	31.07083	31.03941	1	1	1	1	1.000046	1.000036	1.000041	1	0.991712	0.99043	0.992994	1	1	1	1	0.999946	0.999958	0.999952	0.999982	0.996373	0.995629	0.997115	0	-0.0001	-0.03143	0	0.000008	-0.00605	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5136.835	1564.026	0	1564.026	1564.026	136.8345	-999.25	5136.835
11580	85	0	-3.60987	-3.60987	-3.60987	-3.07967	-1.14569	-1.14573	-1.14571	-0.84224	-2.4991	Cerca del TECHO	-2.49586	31.971867	31.97187	31.97187	30.79482	12.91683	12.91673	12.91678	11.58747	31.14554	31.17836	31.11274	1	1	1	1	1.000183	1.000141	1.000162	1.000043	0.990745	0.989374	0.992116	1	1	1	1	0.999948	0.99996	0.999954	0.999972	0.992096	0.990544	0.993647	0	-9.90E-05	-0.06562	0	0.000034	-0.00646	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	1	1	5137.706	1573.988	0	1573.988	1573.988	137.7061	-999.25	5137.706
